id,author,text,time,parent
40988032,mrbluecoat,"&gt; logs include:<p>Your precise GPS locations (which are also sent to their servers).
Your WiFi network name.
The IDs of nearby cell towers (even with no SIM card inserted, also sent to their servers).
Your internet-facing IP address.
The user token used by the device to authenticate with Rabbit&#x27;s back-end API.
Base64-encoded MP3s of everything the Rabbit has ever spoken to you (and the text transcript thereof).<p>Nasty :0",2024-07-17 19:41:38,40987730
40988397,OsrsNeedsf2P,"&gt; I could also build an entire custom kernel from source, but Rabbit Inc. has chosen to violate the GPL2 license and not make the sources available. Of particular note are their drivers for hall-effect scroll wheel sensing, and camera rotation stepper motor control, which are closed-source and yet statically linked into the GPL&#x27;d kernel image. Violations like this are hugely destructive to the free software ecosystem, from which companies like Rabbit Inc. benefit.<p>GPL requires you to disclose the license and source code on request, but Truth Social got away with not disclosing the license until someone realized they were using AGPL code, and only then released the source. I wonder if Rabbit will slip by doing the same.",2024-07-17 19:41:38,40987730
40988701,usr1106,"&gt; On July 12th, I asked Rabbit Inc. if they had any comments to make on the content of this article,<p>&gt; As of the end of July 15th, they have not responded.<p>Their lawyers are considering the options how to sue you.",2024-07-17 19:41:38,40987730
40988086,iamexcited,lol! I worked at Rabbit and left after reading through the codebase and being gaslit by the execs,2024-07-17 19:41:38,40987730
40988105,barnabee,"Cool write up!<p>The software looks garbage and the company doesn’t seem great either at this point.<p>But if it’s easy enough to run custom apps on (even&#x2F;especially) in kiosk mode, I could imagine some pretty interesting use cases for this form factor.<p>Bonus points if you could just slap something together as a PWA too, as then it gets <i>much</i> quicker than programming an ESP32 + battery + screen, and in what looks like s pretty nice self contained unit.<p>Would be nice, ideally to be able to get it running more secure &#x2F; without any Google services, something like GrapheneOS.<p>Having not looked at what’s out there (yet) does anyone know if people are using them in this way for custom single focus apps or have any pointers?",2024-07-17 19:41:38,40987730
40993510,steakscience,It&#x27;s kinda funny all&#x2F;most of the initial goodwill towards the Rabbit was purely because of the Teenage Engineering design.<p>I hope TE chooses their clients better in the future. The guy behind Rabbit is a known grifter.,2024-07-17 19:41:38,40987730
40990750,RobotToaster,What did people expect to lapin?,2024-07-17 19:41:38,40987730
40988714,schmookeeg,"I&#x27;m enjoying reading this, and I never paid much attention to the R1 product. &quot;Carroot&quot; was enough of a chuckle to merit the rest. :D",2024-07-17 19:41:38,40987730
40989241,heyrikin,Very interesting writeup!,2024-07-17 19:41:38,40987730
40990528,nineteen999,Honestly ... what did people expect.,2024-07-17 19:41:38,40987730
40988347,,,2024-07-17 19:41:38,40987730
