id,title,url,score,author,time,comments_count
40987730,Jailbreaking RabbitOS,https://www.da.vidbuchanan.co.uk/blog/r1-jailbreak.html,933,Retr0id,2024-07-17 19:41:38,32
40994552,Ask HN: What's Prolog Like in 2024?,,20,overclock351,2024-07-18 14:23:06,5
40986894,Panic at the Job Market,https://matt.sh/panic-at-the-job-market,1366,speckx,2024-07-17 18:25:11,170
40958937,Elligator: Elliptic-curve points indistinguishable from uniform random strings (2013),https://dl.acm.org/doi/10.1145/2508859.2516734,43,NavinF,2024-07-14 07:58:27,5
40987402,TinyPod – Apple Watch case with scroll wheel,https://thetinypod.com/,720,herbertl,2024-07-17 19:08:22,74
40991182,A RP2040 based DECstation 3000 emulator that can run DECWindows,https://github.com/rscott2049/DECstation2040,131,dmitrygr,2024-07-18 02:11:26,12
40988395,The unexpected poetry of PhD acknowledgements,https://science.anu.edu.au/news-events/news/unexpected-poetry-phd-acknowledgements,236,zsrobinson,2024-07-17 20:44:38,24
40990768,SAPwned: SAP AI vulnerabilities expose customers' cloud environments and privat,https://www.wiz.io/blog/sapwned-sap-ai-vulnerabilities-ai-security,149,todsacerdoti,2024-07-18 01:02:39,9
40988837,A brief interview with Awk creator Dr. Brian Kernighan (2022),https://pldb.io/blog/brianKernighan.html,186,breck,2024-07-17 21:28:44,13
40991075,Closed form arc length parametrization is impossible for quadratic Bézier curves,https://ninjakoa.la/curly_curves/posts/quadratic_bezier_arc_length_parametrization/,71,NinjaKoala,2024-07-18 01:51:39,8
40988954,NVIDIA Transitions Fully Towards Open-Source Linux GPU Kernel Modules,https://developer.nvidia.com/blog/nvidia-transitions-fully-towards-open-source-gpu-kernel-modules/,634,shaicoleman,2024-07-17 21:40:36,38
40994421,Just Use MSYS2 You Say?,https://learncodethehardway.com/blog/30-just-use-msys2-you-say/,7,ash,2024-07-18 14:01:49,0
40989069,Little Languages (1986) [pdf],https://staff.um.edu.mt/afra1/seminar/little-languages.pdf,121,ashish01,2024-07-17 21:51:00,6
40952294,Ask HN: Any way to borrow compute from Apple M1,,24,2Gkashmiri,2024-07-13 09:44:23,10
